Temperature, K;NP(LIQUID),mol;NP(BCC_A2),mol;NP(FCC_A1#1),mol;NP(FCC..AUTO#2),mol;NP(M23C6),mol;NP(M6C),mol
1511.618;0.0003356856;;0.9186493;;;0.08101505
1511.627;0.0003638455;;0.9186298;;;0.08100635
1511.635;0.0003919811;;0.9186104;;;0.08099766
1513.312;0.006103909;;0.91466;;;0.07923606
1514.988;0.01197768;;0.9105935;;;0.07742886
1516.664;0.01802;;0.9064056;;;0.07557439
1520.0;0.03057412;;0.8976896;;;0.07173626
1530.0;0.07302533;;0.8680689;;;0.05890573
1540.0;0.124446;;0.8318937;;;0.04366032
1550.0;0.1879691;;0.7867889;;;0.025242
1560.0;0.2684144;;0.7290829;;;0.002502716
1560.973;0.2773982;;0.7226018;;;0.0
1561.073;0.2776461;;0.7223539;;;
1561.082;0.2776682;;0.7223318;;;
1561.091;0.2776903;;0.7223097;;;
1562.876;0.2821614;;0.7178386;;;
1564.661;0.2867188;;0.7132812;;;
1566.447;0.2913651;;0.7086349;;;
1570.0;0.3008851;;0.6991149;;;
1580.0;0.3298033;;0.6701967;;;
1590.0;0.3622842;;0.6377158;;;
1600.0;0.3989737;;0.6010263;;;
1610.0;0.4406679;;0.5593321;;;
1620.0;0.4883566;;0.5116434;;;
1630.0;0.5432851;;0.4567149;;;
1630.539;0.5464822;0.0;0.4535178;;;
1630.639;0.547232;0.001249548;0.4515184;;;
1630.649;0.5473023;0.001366661;0.4513311;;;
1630.658;0.5473725;0.001483679;0.4511439;;;
1632.53;0.5616407;0.02535866;0.4130006;;;
1634.402;0.5763491;0.05015381;0.373497;;;
1636.274;0.5915161;0.07591388;0.33257;;;
1640.0;0.6231404;0.1302387;0.2466209;;;
1649.38;0.7123084;0.2876916;0.0;;;
1649.48;0.7128501;0.2871499;;;;
1649.481;0.712853;0.287147;;;;
1649.481;0.7128558;0.2871442;;;;
1649.585;0.7134199;0.2865801;;;;
1649.689;0.7139849;0.2860151;;;;
1649.793;0.7145509;0.2854491;;;;
1650.0;0.7156797;0.2843203;;;;
1660.0;0.7748173;0.2251827;;;;
1670.0;0.844447;0.155553;;;;
1680.0;0.9274455;0.07255452;;;;
1687.422;1.0;0.0;;;;
1687.522;1.0;;;;;
1687.524;1.0;;;;;
1687.527;1.0;;;;;
1688.023;1.0;;;;;
1688.518;1.0;;;;;
